Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	16	99	10.393836ms	5.514308ms
14000018	16	115	5.464779ms	1.834025ms
14000022	16	339	20.559094ms	4.900577ms
14000059	16	129	10.983758ms	3.410763ms
14000066	16	95	12.61375ms	4.765188ms
14000090	16	254	15.088048ms	3.625689ms
14000101	16	73	6.274757ms	2.445837ms
14000103	16	347	19.944384ms	4.60473ms
14000114	16	408	25.213355ms	9.207498ms
14000123	16	13	1.415833ms	1.41263ms
14000166	16	65	4.372842ms	2.774206ms
14000176	16	70	6.45616ms	2.3181ms
14000208	16	218	13.098391ms	4.349806ms
14000214	16	468	21.426803ms	7.024707ms
14000216	16	99	6.599576ms	2.639901ms
14000243	16	192	20.137353ms	11.066547ms
14000255	16	244	18.33468ms	7.168839ms
14000259	16	72	4.121632ms	2.180237ms
14000261	16	72	3.384387ms	3.162658ms
14000302	16	62	4.509018ms	2.909219ms
14000315	16	333	9.219858ms	3.123661ms
14000334	16	36	1.208143ms	1.202117ms
14000351	16	272	15.767556ms	9.838498ms
14000366	16	397	16.842306ms	4.108772ms
14000394	16	52	4.010458ms	2.422837ms
14000408	16	224	5.467994ms	2.663702ms
14000411	16	53	2.551392ms	2.54552ms
14000423	16	286	13.228811ms	3.901437ms
14000451	16	188	8.507378ms	3.401077ms
14000493	16	95	6.14225ms	2.238887ms
14000494	16	80	3.984301ms	1.911736ms
14000529	16	277	16.549348ms	24.566868ms
14000554	16	28	912.281µs	908.313µs
14000559	16	627	13.716063ms	8.896952ms
14000589	16	313	14.723608ms	4.000768ms
14000595	16	318	18.498592ms	4.531909ms
14000608	16	22	2.571483ms	2.488311ms
14000638	16	25	2.373947ms	2.475419ms
14000659	16	148	9.613868ms	4.684126ms
14000682	16	77	4.075106ms	1.527822ms
14000690	16	117	6.826907ms	1.808346ms
14000713	16	120	7.785479ms	2.359114ms
14000720	16	473	10.358937ms	4.280403ms
14000743	16	30	1.699603ms	1.670717ms
14000778	16	75	5.443103ms	1.540835ms
14000787	16	101	4.136331ms	1.950929ms
14000798	16	338	15.666418ms	36.032203ms
14000816	16	162	10.588287ms	3.17013ms
14000826	16	81	6.316923ms	2.142077ms
14000831	16	39	3.900274ms	1.385408ms
14000840	16	0	769ns	766ns
14000868	16	149	6.841429ms	1.912196ms
14000907	16	332	24.873123ms	17.26774ms
14000998	16	42	3.772685ms	3.772833ms
14001019	16	200	17.266791ms	18.387462ms
14001020	16	4	551.416µs	548.425µs
14001033	16	352	19.228061ms	10.85636ms
14001065	16	346	21.888031ms	7.132231ms
14001079	16	144	11.588979ms	4.550052ms
14001126	16	125	5.893355ms	1.557083ms
14001137	16	153	11.852461ms	2.631526ms
14001155	16	61	6.046838ms	2.916851ms
14001168	16	95	7.209401ms	2.148016ms
14001171	16	17	1.550754ms	1.548922ms
14001175	16	6	27.175µs	27.017µs
14001176	16	88	6.619291ms	2.068741ms
14001193	16	506	18.128421ms	6.21952ms
14001207	16	142	15.43297ms	3.944664ms
14001234	16	32	1.173832ms	1.171613ms
14001243	16	176	12.360081ms	2.825732ms
14001260	16	139	5.559498ms	1.817696ms
14001262	16	26	1.756048ms	1.685534ms
14001274	16	166	11.130212ms	2.461185ms
14001316	16	299	20.136617ms	4.417697ms
14001338	16	129	13.951444ms	3.808601ms
