Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	14	99	3.989265ms	2.989661ms
14000018	14	115	2.257974ms	1.492459ms
14000022	14	339	8.070945ms	3.177516ms
14000059	14	129	4.382977ms	2.539255ms
14000066	14	95	4.949193ms	2.2874ms
14000090	14	254	5.95339ms	1.906895ms
14000101	14	73	2.603545ms	1.688273ms
14000103	14	347	8.340424ms	5.395553ms
14000114	14	408	9.951016ms	5.20675ms
14000123	14	13	577.829µs	580.225µs
14000166	14	65	1.870891ms	1.479789ms
14000176	14	70	2.678026ms	1.355427ms
14000208	14	218	5.283261ms	2.946676ms
14000214	14	468	8.427019ms	4.867364ms
14000216	14	99	2.678917ms	1.888605ms
14000243	14	192	7.732595ms	4.1001ms
14000255	14	244	6.741839ms	2.897639ms
14000259	14	72	1.838391ms	1.107419ms
14000261	14	72	1.562589ms	1.799158ms
14000302	14	62	1.959718ms	1.575246ms
14000315	14	333	3.762618ms	2.508002ms
14000334	14	36	548.483µs	555.03µs
14000351	14	272	6.554959ms	4.066358ms
14000366	14	397	7.131781ms	3.520506ms
14000394	14	52	1.672489ms	1.541142ms
14000408	14	224	2.171599ms	4.590084ms
14000411	14	53	1.107022ms	1.109883ms
14000423	14	286	5.190866ms	2.112788ms
14000451	14	188	3.396812ms	1.716669ms
14000493	14	95	2.467357ms	1.193651ms
14000494	14	80	1.719565ms	1.740582ms
14000529	14	277	7.807189ms	18.970096ms
14000554	14	28	396.563µs	390.695µs
14000559	14	627	5.354503ms	6.332917ms
14000589	14	313	5.81326ms	2.614127ms
14000595	14	318	7.356792ms	3.209554ms
14000608	14	22	1.042289ms	1.044205ms
14000638	14	25	956.128µs	951.909µs
14000659	14	148	3.830792ms	2.561349ms
14000682	14	77	1.613657ms	1.234341ms
14000690	14	117	2.768738ms	1.336559ms
14000713	14	120	3.091426ms	1.496221ms
14000720	14	473	4.174632ms	4.63187ms
14000743	14	30	678.21µs	679.489µs
14000778	14	75	2.139314ms	1.191594ms
14000787	14	101	1.735053ms	3.36248ms
14000798	14	338	7.842615ms	28.695235ms
14000816	14	162	4.229935ms	2.239504ms
14000826	14	81	2.777346ms	1.899782ms
14000831	14	39	1.636547ms	936.241µs
14000840	14	0	362ns	363ns
14000868	14	149	2.82356ms	4.283125ms
14000907	14	332	9.870867ms	8.529769ms
14000998	14	42	1.608123ms	1.633911ms
14001019	14	200	6.428855ms	4.988607ms
14001020	14	4	251.249µs	247.524µs
14001033	14	352	7.217294ms	3.765699ms
14001065	14	346	9.352775ms	4.687366ms
14001079	14	144	4.589011ms	2.035758ms
14001126	14	125	2.712358ms	2.357199ms
14001137	14	153	4.957074ms	3.47744ms
14001155	14	61	2.377004ms	1.559614ms
14001168	14	95	2.989949ms	1.170622ms
14001171	14	17	674.148µs	682.006µs
14001175	14	6	13.657µs	13.474µs
14001176	14	88	2.666444ms	1.292403ms
14001193	14	506	7.158362ms	8.304025ms
14001207	14	142	5.956113ms	2.174647ms
14001234	14	32	527.437µs	524.05µs
14001243	14	176	5.134644ms	2.55573ms
14001260	14	139	2.214064ms	1.084044ms
14001262	14	26	718.387µs	726.186µs
14001274	14	166	4.427341ms	2.215307ms
14001316	14	299	8.16226ms	4.033852ms
14001338	14	129	5.491369ms	1.927126ms
14001370	14	242	13.198449ms	4.422078ms
14001412	14	128	5.031735ms	3.274481ms
14001420	14	64	2.275743ms	2.265315ms
14001423	14	200	8.703694ms	4.18933ms
14001434	14	12	335.325µs	331.29µs
14001438	14	68	2.077702ms	1.68867ms
14001544	14	190	6.090069ms	2.96998ms
14001577	14	44	1.155083ms	1.182932ms
14001592	14	175	6.006553ms	2.254599ms
14001593	14	163	4.797205ms	2.866011ms
14001595	14	313	8.416478ms	3.026195ms
14001621	14	330	8.705346ms	3.413089ms
14001668	14	104	2.237849ms	1.135926ms
14001675	14	692	3.972437ms	13.293577ms
14001699	14	29	1.005031ms	998.145µs
14001720	14	95	6.669302ms	3.431943ms
14001749	14	314	7.876826ms	3.346118ms
14001761	14	0	285ns	285ns
14001768	14	55	2.814463ms	1.817314ms
14001780	14	118	5.042659ms	3.023974ms
14001819	14	154	4.428554ms	4.324389ms
14001833	14	234	7.192215ms	3.948518ms
14001845	14	153	4.944679ms	1.98358ms
14001847	14	63	2.128068ms	1.2265ms
14001868	14	35	872.58µs	865.274µs
14001973	14	131	5.425624ms	2.375024ms
14001978	14	138	4.114207ms	3.305497ms
14001986	14	180	7.349304ms	2.66397ms
14001990	14	164	6.348735ms	2.52865ms
14001994	14	336	9.4371ms	2.68429ms
14002005	14	188	7.166425ms	2.612275ms
14002015	14	65	3.408953ms	1.296851ms
14002070	14	286	10.786305ms	5.331397ms
