Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	14	99	4.004572ms	4.433355ms
14000018	14	115	2.215935ms	1.126296ms
14000022	14	339	8.28999ms	2.909789ms
14000059	14	129	4.373206ms	2.052757ms
14000066	14	95	4.920271ms	2.346405ms
14000090	14	254	5.956701ms	2.745455ms
14000101	14	73	2.497709ms	2.067764ms
14000103	14	347	7.956765ms	3.812001ms
14000114	14	408	9.97531ms	6.162175ms
14000123	14	13	593.605µs	589.333µs
14000166	14	65	1.865597ms	1.992892ms
14000176	14	70	3.051102ms	2.168247ms
14000208	14	218	5.304575ms	2.682002ms
14000214	14	468	8.527127ms	5.587533ms
14000216	14	99	2.642867ms	1.70372ms
14000243	14	192	7.724955ms	3.76015ms
14000255	14	244	6.524841ms	2.867606ms
14000259	14	72	1.836287ms	1.815092ms
14000261	14	72	1.470621ms	2.42032ms
14000302	14	62	1.919486ms	1.5913ms
14000315	14	333	3.623203ms	2.185038ms
14000334	14	36	553.016µs	564.248µs
14000351	14	272	6.346518ms	4.438106ms
14000366	14	397	6.944554ms	2.988164ms
14000394	14	52	1.591383ms	1.071804ms
14000408	14	224	2.173405ms	2.279629ms
14000411	14	53	1.108784ms	1.118753ms
14000423	14	286	5.219913ms	2.199019ms
14000451	14	188	3.415794ms	2.345905ms
14000493	14	95	2.54957ms	1.924529ms
14000494	14	80	1.551109ms	1.0595ms
14000529	14	277	7.236693ms	14.78277ms
14000554	14	28	396.49µs	385.531µs
14000559	14	627	5.489697ms	5.970929ms
14000589	14	313	6.086263ms	2.89296ms
14000595	14	318	7.260002ms	3.382925ms
14000608	14	22	1.324057ms	1.384993ms
14000638	14	25	915.77µs	929.405µs
14000659	14	148	3.825399ms	2.344407ms
14000682	14	77	1.646575ms	1.083096ms
14000690	14	117	2.732979ms	1.426367ms
14000713	14	120	3.092703ms	1.576397ms
14000720	14	473	4.013072ms	3.267749ms
14000743	14	30	694.001µs	701.32µs
14000778	14	75	2.106997ms	1.182109ms
14000787	14	101	1.65913ms	2.003681ms
14000798	14	338	7.641102ms	24.087171ms
14000816	14	162	4.101952ms	2.135004ms
14000826	14	81	2.630552ms	1.543215ms
14000831	14	39	1.800438ms	1.451291ms
14000840	14	0	299ns	296ns
14000868	14	149	3.352305ms	2.120833ms
