Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	14	99	3.973262ms	3.348777ms
14000018	14	115	2.275792ms	1.835501ms
14000022	14	339	8.322559ms	4.138226ms
14000059	14	129	4.213665ms	1.790823ms
14000066	14	95	4.899666ms	2.407283ms
14000090	14	254	5.889217ms	2.263832ms
14000101	14	73	2.45959ms	1.7193ms
14000103	14	347	7.76098ms	3.011027ms
14000114	14	408	9.795115ms	4.92951ms
14000123	14	13	592.249µs	583.807µs
14000166	14	65	1.814776ms	1.398225ms
14000176	14	70	2.619154ms	1.457515ms
14000208	14	218	5.184332ms	3.023404ms
14000214	14	468	8.481095ms	5.422127ms
14000216	14	99	2.606663ms	1.64624ms
14000243	14	192	7.589055ms	5.176065ms
14000255	14	244	6.534013ms	2.890934ms
14000259	14	72	1.813342ms	2.399841ms
14000261	14	72	1.473239ms	1.68064ms
14000302	14	62	1.909989ms	1.693767ms
14000315	14	333	3.768276ms	2.427869ms
14000334	14	36	530.696µs	535.249µs
14000351	14	272	6.247435ms	3.82123ms
14000366	14	397	6.610065ms	2.683439ms
14000394	14	52	1.597853ms	1.05444ms
14000408	14	224	2.207574ms	2.396669ms
14000411	14	53	1.104315ms	1.096565ms
14000423	14	286	5.123444ms	1.96391ms
14000451	14	188	3.398975ms	2.067425ms
14000493	14	95	2.458853ms	1.249144ms
14000494	14	80	1.50291ms	993.512µs
14000529	14	277	7.134859ms	14.131816ms
14000554	14	28	397.612µs	398.473µs
14000559	14	627	5.269468ms	5.993258ms
14000589	14	313	5.823887ms	2.524094ms
14000595	14	318	7.279063ms	2.833309ms
14000608	14	22	1.024466ms	1.03591ms
14000638	14	25	915.415µs	918.144µs
14000659	14	148	3.810767ms	2.059917ms
14000682	14	77	1.617463ms	1.054187ms
14000690	14	117	2.701116ms	1.249246ms
14000713	14	120	3.053629ms	1.436233ms
14000720	14	473	3.980253ms	3.597726ms
14000743	14	30	690.879µs	689.642µs
14000778	14	75	2.117549ms	1.138073ms
14000787	14	101	1.641725ms	1.523895ms
14000798	14	338	7.724527ms	24.062937ms
14000816	14	162	4.171983ms	2.125069ms
14000826	14	81	2.636184ms	1.489376ms
14000831	14	39	1.639368ms	1.14761ms
14000840	14	0	327ns	319ns
14000868	14	149	2.750943ms	1.964762ms
14000907	14	332	9.524759ms	5.323701ms
14000998	14	42	1.57402ms	1.574386ms
14001019	14	200	6.344628ms	4.965494ms
14001020	14	4	243.427µs	241.914µs
14001033	14	352	7.106385ms	3.739724ms
14001065	14	346	8.283491ms	3.037662ms
14001079	14	144	4.476414ms	1.862121ms
14001126	14	125	2.470545ms	928.019µs
14001137	14	153	4.476379ms	1.55828ms
14001155	14	61	2.28621ms	1.23139ms
14001168	14	95	2.894214ms	1.028434ms
14001171	14	17	652.145µs	656.576µs
14001175	14	6	14.435µs	14.186µs
14001176	14	88	2.6392ms	1.143452ms
14001193	14	506	6.975252ms	6.597745ms
14001207	14	142	5.733397ms	1.968982ms
14001234	14	32	508.601µs	503.015µs
14001243	14	176	4.933251ms	1.891064ms
14001260	14	139	2.538749ms	3.981025ms
14001262	14	26	715.976µs	717.385µs
14001274	14	166	4.540495ms	2.920027ms
14001316	14	299	8.041744ms	3.509287ms
14001338	14	129	5.763545ms	3.06328ms
14001370	14	242	10.795534ms	3.065997ms
14001412	14	128	4.532265ms	1.903998ms
14001420	14	64	2.105204ms	1.091902ms
14001423	14	200	7.622609ms	2.340425ms
14001434	14	12	326.24µs	323.91µs
14001438	14	68	1.999628ms	1.000254ms
14001544	14	190	5.819023ms	2.028179ms
14001577	14	44	1.087502ms	1.074349ms
14001592	14	175	5.845113ms	1.750904ms
14001593	14	163	4.653384ms	2.097538ms
14001595	14	313	8.140663ms	2.335925ms
14001621	14	330	7.744492ms	2.921703ms
14001668	14	104	2.159241ms	897.074µs
14001675	14	692	3.810161ms	9.492655ms
14001699	14	29	981.425µs	1.003319ms
14001720	14	95	6.542405ms	3.982425ms
14001749	14	314	8.178615ms	3.82993ms
14001761	14	0	354ns	344ns
14001768	14	55	2.83374ms	1.085429ms
14001780	14	118	4.811429ms	2.110488ms
14001819	14	154	4.729686ms	3.790888ms
14001833	14	234	7.76977ms	3.87829ms
14001845	14	153	5.068613ms	1.48706ms
14001847	14	63	2.191012ms	995.012µs
