Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	14	99	4.186653ms	3.147571ms
14000018	14	115	2.33071ms	1.394504ms
14000022	14	339	8.68588ms	3.151949ms
14000059	14	129	5.12868ms	3.461022ms
14000066	14	95	6.955805ms	9.348604ms
14000090	14	254	6.43709ms	2.752011ms
14000101	14	73	2.714861ms	1.983748ms
14000103	14	347	8.792199ms	4.722051ms
14000114	14	408	10.206667ms	4.819874ms
14000123	14	13	597.386µs	598.425µs
14000166	14	65	1.856785ms	1.47301ms
14000176	14	70	2.683715ms	1.357825ms
14000208	14	218	5.44866ms	3.155314ms
14000214	14	468	8.91182ms	7.653414ms
14000216	14	99	3.429294ms	3.541907ms
14000243	14	192	8.406459ms	6.142823ms
14000255	14	244	7.261782ms	3.539953ms
14000259	14	72	1.931349ms	2.180428ms
14000261	14	72	1.522805ms	1.67728ms
14000302	14	62	1.955564ms	1.624984ms
14000315	14	333	3.940945ms	2.360353ms
14000334	14	36	567.49µs	559.85µs
14000351	14	272	6.851582ms	8.322303ms
14000366	14	397	7.113401ms	3.806974ms
14000394	14	52	1.629605ms	1.109055ms
14000408	14	224	2.233252ms	2.454823ms
14000411	14	53	1.482555ms	1.412467ms
14000423	14	286	5.298432ms	2.115592ms
14000451	14	188	3.487475ms	2.211281ms
14000493	14	95	2.518558ms	1.33374ms
14000494	14	80	1.561832ms	1.061925ms
14000529	14	277	7.382289ms	14.761729ms
14000554	14	28	398.068µs	404.823µs
14000559	14	627	5.644611ms	6.828992ms
14000589	14	313	6.248729ms	2.976281ms
14000595	14	318	7.599413ms	3.281142ms
14000608	14	22	1.091973ms	1.090251ms
14000638	14	25	946.503µs	957.462µs
14000659	14	148	4.101924ms	2.586817ms
14000682	14	77	1.704748ms	1.471173ms
14000690	14	117	2.927454ms	1.492187ms
14000713	14	120	3.170068ms	1.447577ms
14000720	14	473	4.198202ms	3.426542ms
14000743	14	30	700.006µs	681.864µs
14000778	14	75	2.196182ms	1.21893ms
14000787	14	101	1.725493ms	1.512405ms
14000798	14	338	7.999074ms	24.882995ms
14000816	14	162	4.49595ms	3.666666ms
14000826	14	81	2.83537ms	1.7984ms
14000831	14	39	2.040082ms	1.738146ms
14000840	14	0	510ns	489ns
14000868	14	149	2.921243ms	2.794191ms
14000907	14	332	9.675349ms	6.282352ms
14000998	14	42	1.610129ms	1.615843ms
14001019	14	200	6.548954ms	5.284385ms
14001020	14	4	242.095µs	240.448µs
14001033	14	352	7.588505ms	3.865645ms
14001065	14	346	10.15581ms	6.478402ms
14001079	14	144	4.725451ms	2.344108ms
14001126	14	125	2.951441ms	1.939381ms
14001137	14	153	4.790066ms	1.963132ms
14001155	14	61	2.362615ms	1.793969ms
14001168	14	95	3.067358ms	1.733449ms
14001171	14	17	708.644µs	701.219µs
14001175	14	6	14.976µs	17.72µs
14001176	14	88	2.82208ms	1.99526ms
14001193	14	506	8.016964ms	11.3911ms
14001207	14	142	7.950439ms	3.773599ms
14001234	14	32	730.185µs	718.932µs
14001243	14	176	5.939804ms	3.987819ms
14001260	14	139	2.570284ms	1.751159ms
14001262	14	26	752.441µs	741.854µs
14001274	14	166	4.788854ms	2.225675ms
14001316	14	299	9.570334ms	6.527988ms
14001338	14	129	5.979445ms	3.276829ms
14001370	14	242	12.944238ms	5.381644ms
14001412	14	128	8.459064ms	5.463152ms
14001420	14	64	3.501522ms	4.915407ms
14001423	14	200	14.070109ms	11.966789ms
14001434	14	12	559.336µs	526.287µs
14001438	14	68	5.001702ms	6.784826ms
14001544	14	190	9.145879ms	7.527365ms
14001577	14	44	1.30462ms	1.299532ms
14001592	14	175	10.210311ms	12.396036ms
14001593	14	163	7.753792ms	9.596005ms
14001595	14	313	11.170591ms	5.797706ms
14001621	14	330	8.978152ms	5.68759ms
14001668	14	104	2.426429ms	1.428289ms
14001675	14	692	4.29639ms	16.328884ms
14001699	14	29	993.868µs	1.014994ms
14001720	14	95	7.08126ms	5.707952ms
14001749	14	314	8.204378ms	3.352229ms
14001761	14	0	327ns	330ns
14001768	14	55	2.821834ms	1.428952ms
14001780	14	118	4.950945ms	4.58353ms
14001819	14	154	4.724491ms	5.793649ms
14001833	14	234	7.572931ms	6.389371ms
14001845	14	153	5.106641ms	1.833949ms
14001847	14	63	2.155177ms	1.172015ms
14001868	14	35	902.954µs	907.765µs
14001973	14	131	5.705801ms	3.160183ms
14001978	14	138	3.741204ms	1.69227ms
14001986	14	180	7.251982ms	2.194251ms
14001990	14	164	6.368056ms	2.320188ms
14001994	14	336	9.843956ms	3.650556ms
14002005	14	188	7.870793ms	3.790953ms
14002015	14	65	3.893724ms	2.576179ms
14002070	14	286	10.593868ms	5.166948ms
14002074	14	91	3.308123ms	1.432249ms
14002079	14	395	11.2ms	8.86805ms
14002090	14	220	5.701333ms	2.554168ms
14002174	14	141	6.344619ms	3.172639ms
14002190	14	26	892.341µs	899.667µs
14002194	14	225	7.979523ms	3.917711ms
14002224	14	49	807.157µs	797.591µs
14002247	14	0	369ns	340ns
14002282	14	151	4.346954ms	2.135402ms
14002297	14	46	2.401534ms	1.317695ms
14002328	14	225	6.935291ms	3.029794ms
14002394	14	29	2.706325ms	2.684858ms
14002402	14	197	4.349836ms	2.706605ms
14002427	14	71	3.001122ms	1.401986ms
14002462	14	394	9.708076ms	4.60992ms
14002477	14	383	11.859848ms	5.877378ms
14002496	14	74	3.924007ms	2.39382ms
14002514	14	476	11.220592ms	7.674791ms
14002523	14	79	3.049152ms	1.206953ms
14002531	14	410	9.242135ms	5.178314ms
14002536	14	64	1.882748ms	1.074886ms
14002538	14	71	3.042387ms	1.400141ms
14002541	14	249	7.645144ms	3.015129ms
14002678	14	149	3.148632ms	8.828225ms
14002685	14	12	351.709µs	322.275µs
14002720	14	306	8.561684ms	4.769734ms
14002741	14	422	9.340917ms	5.137959ms
14002780	14	244	7.975806ms	4.000545ms
14002794	14	333	11.030589ms	4.728942ms
14002806	14	251	1.97657ms	6.993348ms
14002827	14	96	3.657417ms	1.477509ms
14002849	14	183	4.168437ms	1.896512ms
14002875	14	136	5.077604ms	1.746125ms
14002887	14	165	4.917805ms	1.45867ms
14002933	14	347	9.575654ms	3.554788ms
14003024	14	144	5.38412ms	3.63617ms
14003042	14	407	11.574337ms	4.65485ms
14003053	14	25	255.813µs	258.719µs
14003065	14	191	4.670929ms	3.06759ms
14003070	14	77	2.63081ms	1.781979ms
14003088	14	321	10.576079ms	3.678316ms
14003091	14	274	11.158705ms	5.740427ms
14003093	14	38	2.631368ms	1.34382ms
14003105	14	98	2.568933ms	1.440771ms
14003132	14	755	9.060271ms	14.827767ms
14003172	14	84	3.317292ms	1.406482ms
14003222	14	267	9.81426ms	3.561617ms
14003237	14	168	6.583684ms	2.885526ms
14003248	14	24	1.553414ms	1.569129ms
14003316	14	504	9.852015ms	3.574037ms
14003351	14	94	3.615425ms	1.269429ms
14003391	14	96	3.990201ms	1.868179ms
14003395	14	305	13.275176ms	4.928379ms
14003409	14	261	6.239683ms	2.235245ms
14003410	14	8	283.942µs	276.54µs
14003412	14	83	2.285412ms	1.336391ms
14003414	14	691	9.259496ms	10.466985ms
14003430	14	428	10.978594ms	4.01027ms
14003485	14	211	6.176018ms	2.582399ms
14003500	14	120	4.491529ms	1.821182ms
14003518	14	343	11.64645ms	5.16154ms
14003541	14	102	3.868004ms	1.943686ms
14003549	14	110	3.219463ms	1.759442ms
14003561	14	169	3.747741ms	2.015702ms
14003570	14	75	2.365747ms	1.306808ms
14003573	14	383	14.251458ms	5.195382ms
14003587	14	133	4.821563ms	1.818052ms
14003601	14	137	1.983661ms	1.42573ms
14003611	14	35	1.183037ms	1.189939ms
14003613	14	10	581.772µs	569.544µs
14003618	14	56	2.22443ms	1.004659ms
14003664	14	80	1.967945ms	937.502µs
14003666	14	328	9.104569ms	3.029612ms
14003673	14	378	10.380069ms	4.485905ms
14003679	14	309	8.385206ms	2.631143ms
14003681	14	67	1.421111ms	935.11µs
14003688	14	227	7.894265ms	2.737636ms
14003704	14	82	756.078µs	760.697µs
14003719	14	280	10.148086ms	3.383515ms
14003730	14	279	8.20288ms	3.304863ms
14003766	14	263	11.685352ms	7.687809ms
14003807	14	0	659ns	342ns
14003812	14	87	6.250166ms	3.351111ms
14003819	14	166	5.884226ms	2.80434ms
14003839	14	187	4.985946ms	1.968023ms
14003842	14	89	4.26517ms	1.553093ms
14003925	14	181	5.6557ms	4.087563ms
14003951	14	33	734.492µs	735.123µs
14003960	14	72	2.637436ms	1.120539ms
14003979	14	49	1.520258ms	1.545068ms
14004016	14	201	7.191105ms	12.289353ms
14004037	14	173	5.03577ms	5.609309ms
14004047	14	245	6.623315ms	5.058112ms
14004069	14	28	892.452µs	891.855µs
14004076	14	207	6.312268ms	2.372415ms
14004139	14	245	5.689719ms	2.438279ms
14004153	14	176	5.646164ms	4.025316ms
14004219	14	187	6.090834ms	2.856872ms
14004221	14	405	15.267117ms	8.616064ms
14004227	14	38	1.823918ms	1.81112ms
14004236	14	181	7.437145ms	3.946427ms
14004264	14	469	9.924563ms	4.090311ms
14004267	14	60	1.993095ms	929.985µs
14004274	14	443	13.847128ms	4.305027ms
14004292	14	115	3.914174ms	1.689754ms
14004313	14	190	6.900419ms	3.101654ms
14004318	14	0	311ns	324ns
14004321	14	66	2.862208ms	2.417923ms
14004354	14	337	14.644904ms	6.166439ms
14004401	14	119	4.310507ms	2.622127ms
14004429	14	47	1.025972ms	1.007837ms
14004462	14	98	3.947075ms	3.156985ms
14004483	14	388	11.457462ms	4.069132ms
14004522	14	690	8.412988ms	9.697238ms
14004524	14	118	3.313282ms	1.40194ms
14004529	14	192	5.440811ms	2.775712ms
14004558	14	340	15.078149ms	8.41148ms
14004559	14	99	3.146025ms	2.473164ms
14004565	14	100	5.600768ms	19.353335ms
14004574	14	472	12.161105ms	7.333737ms
14004599	14	170	5.916888ms	3.562091ms
14004635	14	436	14.233465ms	6.988025ms
14004651	14	106	2.873653ms	1.720831ms
14004653	14	435	13.633315ms	6.386658ms
14004713	14	132	3.545255ms	2.167824ms
14004715	14	81	1.905864ms	1.463324ms
14004782	14	373	10.766301ms	4.440195ms
14004788	14	53	2.159066ms	2.120594ms
14004792	14	350	15.612564ms	6.960039ms
14004794	14	207	10.348432ms	3.028099ms
14004810	14	137	2.867715ms	1.670556ms
14004814	14	30	2.145754ms	1.902884ms
14004832	14	23	178.92µs	156.52µs
14004833	14	205	8.379807ms	3.001591ms
14004850	14	253	6.021496ms	2.31796ms
14004854	14	62	3.220574ms	2.177546ms
14004861	14	177	6.349755ms	3.407802ms
14004890	14	322	8.907308ms	7.86726ms
14004892	14	154	3.128382ms	2.35342ms
14004894	14	88	5.197385ms	5.16712ms
14004977	14	104	3.32875ms	1.961238ms
14004983	14	185	7.976785ms	3.681888ms
21631009	14	177	6.24693ms	2.065919ms
21631021	14	149	7.043144ms	6.994965ms
21631037	14	221	8.209996ms	3.09695ms
21631051	14	108	7.707776ms	7.033454ms
21631060	14	243	11.288359ms	5.720639ms
21631065	14	249	9.658599ms	4.060849ms
21631115	14	174	8.591521ms	3.668925ms
21631117	14	166	6.630038ms	1.73867ms
21631144	14	157	9.556838ms	3.735842ms
21631187	14	157	7.319499ms	4.123998ms
21631212	14	139	5.966001ms	2.500355ms
21631225	14	176	7.06129ms	3.060581ms
21631228	14	169	7.476917ms	2.532142ms
21631256	14	177	8.638771ms	4.101184ms
21631258	14	161	7.151339ms	3.879353ms
21631269	14	147	5.493065ms	2.504772ms
21631299	14	69	1.660847ms	1.602105ms
21631322	14	182	6.264311ms	2.926264ms
21631328	14	162	9.590307ms	3.611811ms
21631329	14	133	5.532978ms	3.097935ms
21631341	14	116	5.794167ms	2.572984ms
21631361	14	251	12.164732ms	4.840864ms
21631375	14	215	10.554739ms	4.287135ms
21631381	14	213	8.339332ms	3.414507ms
21631391	14	110	5.231993ms	2.835927ms
21631395	14	162	6.791535ms	2.646448ms
21631399	14	157	6.012583ms	2.294479ms
21631403	14	226	11.00864ms	5.074555ms
21631405	14	141	5.58358ms	2.91408ms
21631421	14	148	7.553394ms	3.409899ms
21631449	14	204	8.473761ms	3.449304ms
21631466	14	172	8.545789ms	4.706789ms
21631489	14	190	11.198682ms	10.544641ms
21631499	14	148	8.684716ms	4.119759ms
21631525	14	239	12.185687ms	4.235557ms
21631533	14	178	7.054076ms	2.814838ms
21631557	14	302	15.052391ms	6.15318ms
21631611	14	160	5.838015ms	4.457496ms
21631640	14	133	5.800126ms	2.862792ms
21631654	14	217	7.706726ms	5.125934ms
21631655	14	158	6.05858ms	3.24701ms
21631662	14	254	5.470841ms	5.015663ms
21631673	14	175	5.922508ms	2.374757ms
21631707	14	188	7.85997ms	4.916825ms
21631778	14	212	8.200905ms	5.776005ms
21631794	14	320	9.747455ms	4.443151ms
21631795	14	188	7.07511ms	4.3846ms
21631798	14	221	7.074214ms	2.168072ms
21631857	14	308	9.62364ms	4.379262ms
21631902	14	116	5.150319ms	2.870722ms
21631908	14	205	10.209506ms	4.483312ms
21631918	14	108	4.000789ms	1.633504ms
21631922	14	158	10.328006ms	5.309145ms
21631924	14	163	8.068749ms	4.796635ms
21631925	14	148	6.153866ms	2.8073ms
21631937	14	154	7.642746ms	6.413316ms
21631938	14	289	10.723909ms	5.414587ms
21631940	14	156	6.616595ms	3.23248ms
21631971	14	134	4.121369ms	1.650936ms
21631983	14	101	5.940091ms	4.007209ms
21631986	14	191	6.948131ms	2.080341ms
21632006	14	280	14.909253ms	6.358119ms
21632017	14	55	2.648381ms	1.767408ms
21632033	14	178	9.824619ms	6.314998ms
21632051	14	139	5.516511ms	2.609236ms
21632053	14	107	10.033832ms	6.629088ms
21632055	14	65	2.589904ms	2.687251ms
21632080	14	173	5.97665ms	4.355325ms
21632090	14	166	7.683572ms	2.933103ms
21632179	14	227	14.235957ms	7.754638ms
21632191	14	63	4.203805ms	3.906474ms
21632210	14	208	13.43399ms	5.168327ms
21632220	14	173	10.09767ms	10.740484ms
21632248	14	202	6.383349ms	4.061239ms
21632264	14	148	3.729476ms	2.208472ms
21632277	14	97	1.775185ms	1.227803ms
21632280	14	227	14.349864ms	8.151179ms
21632289	14	228	9.712126ms	5.657849ms
21632301	14	146	7.963929ms	4.370742ms
21632302	14	161	7.604085ms	3.129905ms
21632321	14	191	8.059889ms	4.124434ms
21632323	14	234	12.593238ms	6.550134ms
21632374	14	114	4.667673ms	3.696331ms
21632388	14	215	7.193911ms	3.417241ms
21632427	14	298	11.584742ms	6.750736ms
21632465	14	183	9.251249ms	4.94733ms
21632495	14	244	9.220673ms	3.400378ms
21632496	14	179	6.265781ms	3.049438ms
21632524	14	166	9.078198ms	8.593785ms
21632539	14	202	10.446999ms	18.389834ms
21632612	14	131	8.019899ms	4.272915ms
21632615	14	192	9.541837ms	6.199095ms
21632635	14	333	17.326346ms	8.675956ms
21632663	14	181	10.547814ms	10.940505ms
21632673	14	200	10.443817ms	7.471453ms
21632677	14	167	6.193938ms	2.085443ms
21632679	14	167	6.92599ms	2.84853ms
21632693	14	188	9.814696ms	3.838635ms
21632751	14	225	8.836948ms	6.146907ms
21632761	14	53	1.349364ms	1.334278ms
21632835	14	181	7.336738ms	3.777752ms
21632879	14	137	15.122788ms	15.708875ms
21632889	14	230	10.851461ms	4.556185ms
21632907	14	134	7.486586ms	3.785446ms
21632935	14	168	11.500284ms	6.336463ms
21632952	14	129	4.945549ms	2.984145ms
21632980	14	170	8.88026ms	4.226429ms
21632995	14	248	16.691334ms	7.366707ms
21633042	14	248	11.136524ms	5.021685ms
21633064	14	131	6.984505ms	3.510181ms
21633074	14	188	6.255871ms	2.110472ms
21633101	14	203	10.812478ms	3.879825ms
21633103	14	175	8.173297ms	4.014045ms
21633114	14	209	11.066809ms	5.342011ms
21633122	14	130	7.788432ms	3.921604ms
21633146	14	156	5.854771ms	6.233976ms
21633163	14	243	12.606079ms	5.309714ms
21633186	14	199	8.280521ms	4.981466ms
21633207	14	161	7.290058ms	6.095777ms
21633212	14	80	7.866568ms	5.580002ms
21633243	14	237	9.899867ms	3.758786ms
21633254	14	141	9.447325ms	4.514105ms
21633268	14	192	8.168437ms	3.472482ms
21633342	14	174	8.402844ms	4.950233ms
21633351	14	173	8.321332ms	3.858394ms
21633376	14	160	8.350686ms	4.30972ms
21633394	14	245	14.790391ms	12.690003ms
21633416	14	202	8.304457ms	5.09654ms
21633427	14	273	9.02164ms	3.061595ms
21633435	14	165	6.005733ms	2.886795ms
21633484	14	152	7.648742ms	2.682949ms
21633486	14	315	12.871967ms	4.659187ms
21633492	14	157	6.058517ms	2.90418ms
21633508	14	256	10.245828ms	3.655269ms
21633509	14	89	3.689916ms	2.394272ms
21633666	14	230	8.595323ms	4.141688ms
21633673	14	163	10.329143ms	6.563867ms
21633675	14	230	8.44099ms	5.108254ms
21633709	14	232	6.006866ms	6.920384ms
21633726	14	146	7.464161ms	4.102404ms
21633728	14	267	12.236616ms	4.587918ms
21633737	14	121	6.50947ms	3.282615ms
21633746	14	111	4.739205ms	1.643498ms
21633768	14	144	6.473749ms	4.36515ms
21633769	14	66	3.507679ms	3.665514ms
21633784	14	200	13.740798ms	5.463732ms
21633786	14	174	11.067174ms	5.246011ms
21633795	14	226	11.009604ms	3.896047ms
21633808	14	135	8.041654ms	3.060644ms
21633813	14	154	7.445019ms	2.959822ms
21633814	14	185	10.560229ms	2.952994ms
21633847	14	121	6.09049ms	2.255605ms
21633875	14	222	11.262795ms	5.314637ms
21633882	14	141	8.303175ms	3.920886ms
21633905	14	123	7.983925ms	4.449222ms
21633946	14	124	2.886506ms	1.961495ms
21633989	14	180	8.238185ms	2.421239ms
21634017	14	167	9.506995ms	3.476428ms
21634069	14	53	4.344442ms	2.109028ms
21634083	14	149	5.573653ms	2.582172ms
21634092	14	179	7.564796ms	2.863085ms
21634098	14	212	10.409589ms	4.562493ms
21634102	14	144	6.761241ms	2.772385ms
21634122	14	220	15.431364ms	8.72547ms
21634175	14	161	9.592236ms	5.927531ms
21634192	14	180	10.95735ms	3.38923ms
21634221	14	250	13.12843ms	3.880469ms
21634230	14	95	4.647507ms	2.530141ms
21634260	14	67	17.540524ms	18.222209ms
21634268	14	114	5.383357ms	2.560186ms
21634286	14	236	11.764734ms	5.186489ms
21634302	14	138	6.913556ms	4.288452ms
21634304	14	210	12.051977ms	6.932985ms
21634340	14	224	10.285209ms	5.838615ms
21634352	14	163	9.417736ms	7.979655ms
21634353	14	169	6.96591ms	2.60548ms
21634380	14	121	7.830782ms	8.784254ms
21634401	14	84	3.557669ms	2.532868ms
21634431	14	154	10.32758ms	5.55233ms
21634433	14	277	13.321371ms	6.003157ms
21634458	14	176	15.825061ms	10.319607ms
21634472	14	122	6.195452ms	2.713528ms
21634535	14	261	12.850866ms	4.955256ms
21634556	14	124	6.191532ms	2.740821ms
21634572	14	286	13.573352ms	4.569097ms
