Block No	Threads	Block Size	Seq. Time	iBTM Time
14000011	14	99	3.769529ms	1.78334ms
14000018	14	115	2.144118ms	885.325µs
14000022	14	339	7.724493ms	2.168815ms
14000059	14	129	4.082285ms	1.627254ms
14000066	14	95	4.660759ms	1.839196ms
14000090	14	254	5.578826ms	1.845779ms
14000101	14	73	2.385008ms	1.020865ms
14000103	14	347	7.509336ms	2.20546ms
14000114	14	408	9.441001ms	4.137435ms
14000123	14	13	553.248µs	547.928µs
14000166	14	65	1.843186ms	1.0694ms
14000176	14	70	2.558462ms	1.076879ms
14000208	14	218	5.054752ms	1.972554ms
14000214	14	468	8.075649ms	4.363266ms
14000216	14	99	2.554999ms	1.432229ms
14000243	14	192	7.313387ms	2.999693ms
14000255	14	244	6.225949ms	2.182215ms
14000259	14	72	1.796253ms	1.082355ms
14000261	14	72	1.496986ms	1.255099ms
14000302	14	62	1.842634ms	1.024312ms
14000315	14	333	3.53977ms	1.85555ms
14000334	14	36	518.367µs	507.012µs
14000351	14	272	6.221685ms	3.260266ms
14000366	14	397	6.420013ms	1.928994ms
14000394	14	52	1.556384ms	836.508µs
14000408	14	224	2.080932ms	1.622395ms
14000411	14	53	1.030255ms	1.028474ms
14000423	14	286	4.92252ms	1.743498ms
14000451	14	188	3.319303ms	1.908623ms
14000493	14	95	2.527265ms	1.200339ms
14000494	14	80	1.493549ms	872.704µs
14000529	14	277	7.061337ms	10.91368ms
14000554	14	28	367.074µs	360.775µs
14000559	14	627	4.951236ms	4.768165ms
14000589	14	313	5.49856ms	1.958ms
14000595	14	318	6.883705ms	2.246114ms
14000608	14	22	944.929µs	941.454µs
14000638	14	25	895.88µs	894.032µs
14000659	14	148	3.701356ms	1.550178ms
14000682	14	77	1.60542ms	930.437µs
14000690	14	117	2.584161ms	850.32µs
14000713	14	120	2.939611ms	974.48µs
14000720	14	473	3.832123ms	2.676392ms
14000743	14	30	653.287µs	654.072µs
14000778	14	75	2.047216ms	727.449µs
14000787	14	101	1.591322ms	872.581µs
14000798	14	338	7.442466ms	17.298914ms
14000816	14	162	3.955817ms	1.305213ms
14000826	14	81	2.472589ms	908.384µs
14000831	14	39	1.533084ms	694.182µs
14000840	14	0	301ns	299ns
14000868	14	149	2.598043ms	1.124071ms
14000907	14	332	9.069291ms	4.737369ms
14000998	14	42	1.45699ms	1.452683ms
14001019	14	200	6.33508ms	4.291075ms
14001020	14	4	228.041µs	223.77µs
14001033	14	352	6.819158ms	3.075386ms
14001065	14	346	7.920131ms	2.562269ms
14001079	14	144	4.364317ms	1.647389ms
14001126	14	125	2.438732ms	983.208µs
14001137	14	153	4.243276ms	1.174894ms
14001155	14	61	2.245348ms	862.696µs
14001168	14	95	2.77423ms	872.262µs
14001171	14	17	614.254µs	617.124µs
14001175	14	6	13.508µs	14.299µs
14001176	14	88	2.507373ms	864.51µs
14001193	14	506	6.628537ms	4.47271ms
14001207	14	142	5.446659ms	1.432236ms
14001234	14	32	465.358µs	463.17µs
14001243	14	176	4.6932ms	1.304935ms
14001260	14	139	2.072671ms	807.049µs
14001262	14	26	644.526µs	661µs
14001274	14	166	4.081377ms	1.124811ms
14001316	14	299	7.634674ms	2.032279ms
14001338	14	129	5.212662ms	1.569979ms
14001370	14	242	9.916505ms	2.026848ms
14001412	14	128	4.203823ms	1.158617ms
14001420	14	64	1.957925ms	739.734µs
14001423	14	200	7.245474ms	1.825143ms
14001434	14	12	303.276µs	305.462µs
14001438	14	68	1.928879ms	834.729µs
14001544	14	190	5.561344ms	1.742115ms
14001577	14	44	1.008491ms	1.009847ms
14001592	14	175	5.542775ms	1.41571ms
14001593	14	163	4.388644ms	1.201797ms
14001595	14	313	7.873558ms	2.049039ms
14001621	14	330	7.419066ms	1.970154ms
14001668	14	104	2.089788ms	817.23µs
14001675	14	692	3.731533ms	6.982493ms
14001699	14	29	919.987µs	928.62µs
14001720	14	95	6.295279ms	3.663245ms
