Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
18000000	16	94	3.70	0.0%
18000001	16	132	2.72	0.0%
18000002	16	133	2.75	0.0%
18000003	16	127	2.24	0.0%
18000004	16	127	2.55	0.0%
18000005	16	114	2.66	0.0%
18000006	16	162	3.27	0.0%
18000007	16	107	3.09	0.0%
18000008	16	136	4.11	0.0%
18000009	16	122	1.65	0.0%
18000010	16	125	3.45	0.0%
18000011	16	117	1.17	0.0%
18000012	16	122	1.91	0.0%
18000013	16	167	3.94	0.0%
18000014	16	121	1.77	0.0%
18000015	16	154	4.94	0.0%
18000016	16	167	3.89	0.0%
18000017	16	167	2.55	0.0%
18000018	16	152	3.35	0.0%
18000019	16	150	1.94	0.0%
18000020	16	137	2.89	0.0%
18000021	16	139	1.70	0.0%
18000022	16	135	3.68	0.0%
18000023	16	189	3.93	0.0%
18000024	16	114	2.28	0.0%
18000025	16	114	1.98	0.0%
18000026	16	188	3.33	0.0%
18000027	16	118	2.42	0.0%
18000028	16	163	2.35	0.0%
18000029	16	122	1.50	0.0%
18000030	16	128	4.15	0.0%
18000031	16	136	2.68	0.0%
18000032	16	136	1.47	0.0%
18000033	16	157	1.62	0.0%
18000034	16	140	2.82	0.0%
18000035	16	153	2.99	0.0%
18000036	16	183	2.37	0.0%
18000037	16	126	1.70	0.0%
18000038	16	140	2.46	0.0%
18000039	16	133	4.07	0.0%
18000040	16	119	1.70	0.0%
18000041	16	142	1.94	0.0%
18000042	16	144	3.81	0.0%
18000043	16	191	8.24	0.0%
18000044	16	157	3.87	0.0%
18000045	16	51	1.32	0.0%
18000046	16	125	2.05	0.0%
18000047	16	119	2.02	0.0%
18000048	16	102	1.02	0.0%
18000049	16	126	1.80	0.0%
18000050	16	358	8.26	0.0%
18000051	16	113	1.36	0.0%
18000052	16	133	1.28	0.0%
18000053	16	141	1.34	0.0%
18000054	16	124	2.72	0.0%
18000055	16	102	1.29	0.0%
18000056	16	149	2.39	0.0%
18000057	16	116	1.31	0.0%
18000058	16	146	2.33	0.0%
18000059	16	83	1.43	0.0%
18000060	16	160	2.57	0.0%
18000061	16	126	1.82	0.0%
18000062	16	127	2.24	0.0%
18000063	16	129	2.66	0.0%
18000064	16	118	1.24	0.0%
18000065	16	175	2.02	0.0%
18000066	16	138	2.11	0.0%
18000067	16	126	1.60	0.0%
18000068	16	166	1.69	0.0%
18000069	16	122	2.61	0.0%
18000070	16	131	2.17	0.0%
18000071	16	89	1.65	0.0%
18000072	16	163	2.63	0.0%
18000073	16	160	5.17	0.0%
18000074	16	136	4.31	0.0%
18000075	16	129	1.93	0.0%
18000076	16	118	1.20	0.0%
18000077	16	129	2.51	0.0%
18000078	16	133	2.20	0.0%
18000079	16	111	2.17	0.0%
18000080	16	118	2.01	0.0%
18000081	16	91	1.14	0.0%
18000082	16	107	1.35	0.0%
18000083	16	170	2.42	0.0%
18000084	16	125	2.17	0.0%
18000085	16	116	2.77	0.0%
18000086	16	101	1.38	0.0%
18000087	16	192	1.93	0.0%
18000088	16	146	1.65	0.0%
18000089	16	173	3.31	0.0%
18000090	16	135	2.06	0.0%
18000091	16	160	2.08	0.0%
18000092	16	124	2.76	0.0%
18000093	16	174	2.84	0.0%
18000094	16	147	3.16	0.0%
18000095	16	175	3.39	0.0%
18000096	16	129	2.16	0.0%
18000097	16	154	2.80	0.0%
18000098	16	155	1.73	0.0%
18000099	16	99	2.15	0.0%
18000100	16	194	4.55	0.0%
18000101	16	115	1.26	0.0%
18000102	16	127	2.22	0.0%
18000103	16	181	1.80	0.0%
18000104	16	151	3.54	0.0%
18000105	16	139	2.81	0.0%
18000106	16	129	3.82	0.0%
18000107	16	135	3.65	0.0%
18000108	16	138	3.29	0.0%
18000109	16	137	1.60	0.0%
18000110	16	129	3.27	0.0%
18000111	16	102	1.11	0.0%
18000112	16	137	3.22	0.0%
18000113	16	127	1.51	0.0%
18000114	16	154	1.86	0.0%
18000115	16	87	1.32	0.0%
18000116	16	185	1.96	0.0%
18000117	16	132	2.21	0.0%
18000118	16	172	2.60	0.0%
18000119	16	116	3.23	0.0%
18000120	16	130	1.92	0.0%
18000121	16	144	1.54	0.0%
18000122	16	136	2.78	0.0%
18000123	16	150	1.58	0.0%
18000124	16	153	1.63	0.0%
18000125	16	159	2.24	0.0%
18000126	16	150	1.64	0.0%
18000127	16	122	2.19	0.0%
18000128	16	146	2.52	0.0%
18000129	16	110	1.47	0.0%
18000130	16	214	3.33	0.0%
18000131	16	129	2.46	0.0%
18000132	16	130	2.46	0.0%
18000133	16	166	1.85	0.0%
18000134	16	97	1.14	0.0%
18000135	16	180	2.46	0.0%
18000136	16	143	1.62	0.0%
18000137	16	170	1.89	0.0%
18000138	16	138	5.16	0.0%
18000139	16	118	1.55	0.0%
18000140	16	127	2.54	0.0%
18000141	16	138	2.67	0.0%
18000142	16	136	1.96	0.0%
18000143	16	125	1.27	0.0%
18000144	16	136	2.37	0.0%
18000145	16	135	3.64	0.0%
18000146	16	119	1.99	0.0%
18000147	16	159	2.59	0.0%
18000148	16	134	2.55	0.0%
18000149	16	112	1.26	0.0%
18000150	16	268	6.08	0.0%
18000151	16	117	1.61	0.0%
18000152	16	111	1.92	0.0%
18000153	16	143	1.97	0.0%
18000154	16	126	1.58	0.0%
18000155	16	122	2.76	0.0%
18000156	16	162	2.74	0.0%
18000157	16	126	2.06	0.0%
18000158	16	128	2.64	0.0%
18000159	16	127	2.22	0.0%
18000160	16	135	1.66	0.0%
18000161	16	165	2.29	0.0%
18000162	16	128	1.84	0.0%
18000163	16	169	2.23	0.0%
18000164	16	315	3.55	0.0%
18000165	16	117	3.10	0.0%
18000166	16	136	1.77	0.0%
18000167	16	114	1.56	0.0%
18000168	16	141	1.51	0.0%
18000169	16	143	2.86	0.0%
18000170	16	177	2.86	0.0%
18000171	16	150	3.85	0.0%
18000172	16	97	1.34	0.0%
18000173	16	159	3.01	0.0%
18000174	16	137	2.21	0.0%
18000175	16	150	3.28	0.0%
18000176	16	75	0.83	0.0%
18000177	16	255	2.60	0.0%
18000178	16	167	2.09	0.0%
18000179	16	124	2.73	0.0%
18000180	16	115	2.24	0.0%
18000181	16	152	3.81	0.0%
18000182	16	124	1.97	0.0%
18000183	16	139	4.45	0.0%
18000184	16	144	2.27	0.0%
18000185	16	142	3.89	0.0%
18000186	16	123	1.89	0.0%
18000187	16	176	2.19	0.0%
18000188	16	144	1.74	0.0%
18000189	16	117	2.37	0.0%
18000190	16	104	1.95	0.0%
18000191	16	137	1.84	0.0%
18000192	16	141	1.85	0.0%
18000193	16	498	9.02	0.0%
18000194	16	149	2.82	0.0%
18000195	16	107	2.01	0.0%
18000196	16	169	3.39	0.0%
18000197	16	147	2.03	0.0%
18000198	16	154	2.30	0.0%
18000199	16	168	2.90	0.0%
18000200	16	230	6.03	0.0%
18000201	16	118	1.89	0.0%
18000202	16	134	3.14	0.0%
18000203	16	123	2.75	0.0%
18000204	16	202	4.05	0.0%
18000205	16	127	2.73	0.0%
18000206	16	121	2.11	0.0%
18000207	16	184	3.50	0.0%
18000208	16	114	1.78	0.0%
18000209	16	145	2.85	0.0%
18000210	16	135	2.35	0.0%
18000211	16	129	1.86	0.0%
18000212	16	166	3.59	0.0%
18000213	16	149	1.54	0.0%
18000214	16	123	1.49	0.0%
18000215	16	149	3.52	0.0%
18000216	16	136	1.54	0.0%
18000217	16	157	3.02	0.0%
18000218	16	173	2.97	0.0%
18000219	16	147	1.90	0.0%
18000220	16	151	4.33	0.0%
18000221	16	109	1.71	0.0%
18000222	16	221	2.63	0.0%
18000223	16	144	1.51	0.0%
18000224	16	145	2.22	0.0%
18000225	16	214	3.56	0.0%
