Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
14000011	16	99	1.11	100.0%
14000018	16	115	0.88	100.0%
14000022	16	339	4.11	100.0%
14000059	16	129	1.02	100.0%
14000066	16	95	1.18	100.0%
14000090	16	254	2.25	100.0%
14000101	16	73	1.14	98.6%
14000103	16	347	3.84	100.0%
14000114	16	408	3.15	100.0%
14000123	16	13	0.18	100.0%
14000166	16	65	0.60	100.0%
14000176	16	70	0.59	100.0%
14000208	16	218	2.17	100.0%
14000214	16	468	3.49	100.0%
14000216	16	99	1.49	100.0%
14000243	16	192	1.66	100.0%
14000255	16	244	1.80	100.0%
14000259	16	72	0.90	100.0%
14000261	16	72	0.55	100.0%
14000302	16	62	0.69	100.0%
14000315	16	333	3.56	100.0%
14000334	16	36	0.39	100.0%
14000351	16	272	2.19	99.3%
14000366	16	397	5.35	100.0%
14000394	16	52	0.72	100.0%
14000408	16	224	2.66	100.0%
14000411	16	53	0.45	100.0%
14000423	16	286	2.21	100.0%
14000451	16	188	2.93	100.0%
14000493	16	95	1.48	100.0%
14000494	16	80	1.54	100.0%
14000529	16	277	4.45	100.0%
14000554	16	28	0.35	100.0%
14000559	16	627	4.14	100.0%
14000589	16	313	3.81	100.0%
14000595	16	318	2.61	100.0%
14000608	16	22	0.29	100.0%
14000638	16	25	0.30	100.0%
14000659	16	148	1.22	100.0%
14000682	16	77	0.73	100.0%
14000690	16	117	2.22	100.0%
14000713	16	120	1.06	100.0%
14000720	16	473	3.33	100.0%
14000743	16	30	0.30	100.0%
14000778	16	75	0.74	100.0%
14000787	16	101	0.78	100.0%
14000798	16	338	2.39	100.0%
14000816	16	162	1.27	100.0%
14000826	16	81	0.97	100.0%
14000831	16	39	0.43	100.0%
14000840	16	0	0.00	0.0%
14000868	16	149	1.26	100.0%
14000907	16	332	3.55	100.0%
14000998	16	42	0.40	100.0%
14001019	16	200	2.76	100.0%
14001020	16	4	0.08	100.0%
14001033	16	352	3.28	100.0%
14001065	16	346	3.93	100.0%
14001079	16	144	1.31	100.0%
14001126	16	125	0.91	100.0%
14001137	16	153	1.23	100.0%
14001155	16	61	1.11	100.0%
14001168	16	95	0.82	100.0%
14001171	16	17	0.23	100.0%
14001175	16	6	0.08	100.0%
14001176	16	88	0.76	100.0%
14001193	16	506	3.56	100.0%
14001207	16	142	1.32	100.0%
14001234	16	32	0.31	100.0%
14001243	16	176	1.45	100.0%
14001260	16	139	1.07	100.0%
14001262	16	26	0.24	100.0%
14001274	16	166	1.48	100.0%
14001316	16	299	2.50	100.0%
14001338	16	129	1.51	100.0%
14001370	16	242	2.25	100.0%
14001412	16	128	2.04	100.0%
14001420	16	64	0.62	100.0%
14001423	16	200	1.75	100.0%
14001434	16	12	0.13	100.0%
14001438	16	68	0.55	100.0%
14001544	16	190	2.17	100.0%
14001577	16	44	0.47	100.0%
14001592	16	175	1.51	100.0%
14001593	16	163	1.39	100.0%
14001595	16	313	2.67	100.0%
14001621	16	330	2.88	100.0%
14001668	16	104	0.81	100.0%
14001675	16	692	4.85	100.0%
14001699	16	29	0.37	100.0%
14001720	16	95	0.81	100.0%
14001749	16	314	2.60	100.0%
14001761	16	0	0.00	0.0%
14001768	16	55	0.59	100.0%
14001780	16	118	1.38	99.2%
14001819	16	154	2.12	100.0%
14001833	16	234	1.82	100.0%
14001845	16	153	1.28	100.0%
14001847	16	63	0.57	100.0%
14001868	16	35	0.29	100.0%
14001973	16	131	1.04	100.0%
14001978	16	138	2.55	100.0%
14001986	16	180	1.58	100.0%
14001990	16	164	1.47	100.0%
14001994	16	336	2.78	100.0%
14002005	16	188	2.22	100.0%
14002015	16	65	0.65	100.0%
14002070	16	286	3.12	100.0%
14002074	16	91	0.84	100.0%
14002079	16	395	3.20	100.0%
14002090	16	220	1.83	100.0%
14002174	16	141	1.28	100.0%
14002190	16	26	0.34	100.0%
14002194	16	225	2.50	100.0%
14002224	16	49	0.50	100.0%
14002247	16	0	0.00	0.0%
14002282	16	151	1.42	100.0%
14002297	16	46	0.60	100.0%
14002328	16	225	2.06	100.0%
14002394	16	29	0.32	100.0%
14002402	16	197	1.66	100.0%
14002427	16	71	0.70	100.0%
14002462	16	394	3.92	100.0%
14002477	16	383	3.38	100.0%
14002496	16	74	1.13	100.0%
14002514	16	476	3.83	100.0%
14002523	16	79	0.90	98.7%
14002531	16	410	3.06	100.0%
14002536	16	64	0.77	100.0%
14002538	16	71	0.60	100.0%
14002541	16	249	3.13	100.0%
14002678	16	149	0.99	100.0%
14002685	16	12	0.13	100.0%
14002720	16	306	2.17	100.0%
14002741	16	422	3.51	100.0%
14002780	16	244	1.97	99.6%
14002794	16	333	2.85	100.0%
14002806	16	251	1.85	100.0%
14002827	16	96	0.84	100.0%
14002849	16	183	1.37	100.0%
14002875	16	136	1.09	100.0%
14002887	16	165	1.40	100.0%
14002933	16	347	3.64	100.0%
14003024	16	144	1.20	100.0%
14003042	16	407	3.15	99.8%
14003053	16	25	0.52	100.0%
14003065	16	191	1.62	100.0%
14003070	16	77	0.96	100.0%
14003088	16	321	2.86	100.0%
14003091	16	274	2.49	99.6%
14003093	16	38	0.42	100.0%
14003105	16	98	0.77	100.0%
14003132	16	755	5.01	100.0%
14003172	16	84	1.35	100.0%
14003222	16	267	2.19	100.0%
14003237	16	168	1.44	100.0%
14003248	16	24	0.25	100.0%
14003316	16	504	3.69	100.0%
14003351	16	94	0.88	100.0%
14003391	16	96	1.04	100.0%
14003395	16	305	2.92	100.0%
14003409	16	261	2.04	100.0%
14003410	16	8	0.26	100.0%
14003412	16	83	0.96	100.0%
14003414	16	691	4.72	100.0%
14003430	16	428	3.29	100.0%
14003485	16	211	2.04	100.0%
14003500	16	120	1.07	100.0%
14003518	16	343	2.49	100.0%
14003541	16	102	0.87	100.0%
14003549	16	110	0.95	100.0%
14003561	16	169	2.21	100.0%
14003570	16	75	0.64	100.0%
14003573	16	383	3.19	100.0%
14003587	16	133	1.12	100.0%
14003601	16	137	1.55	100.0%
14003611	16	35	0.40	100.0%
14003613	16	10	0.16	100.0%
14003618	16	56	0.47	100.0%
14003664	16	80	0.59	100.0%
14003666	16	328	2.43	100.0%
14003673	16	378	2.72	100.0%
14003679	16	309	2.42	100.0%
14003681	16	67	0.55	100.0%
14003688	16	227	2.02	100.0%
14003704	16	82	0.57	100.0%
14003719	16	280	2.08	100.0%
14003730	16	279	2.32	100.0%
14003766	16	263	2.06	100.0%
14003807	16	0	0.00	0.0%
14003812	16	87	1.15	100.0%
