Block No	Threads	Block Size	Williams Time
18000000	16	94	1.461000ms
18000001	16	132	0.781000ms
18000002	16	133	0.382000ms
18000003	16	127	0.567000ms
18000004	16	127	0.732000ms
18000005	16	114	0.659000ms
18000006	16	162	0.703000ms
18000007	16	107	0.955000ms
18000008	16	136	0.351000ms
18000009	16	122	0.304000ms
18000010	16	125	0.695000ms
18000011	16	117	0.200000ms
18000012	16	122	0.349000ms
18000013	16	167	1.229000ms
18000014	16	121	0.308000ms
18000015	16	154	0.973000ms
18000016	16	167	0.399000ms
18000017	16	167	0.375000ms
18000018	16	152	0.669000ms
18000019	16	150	0.393000ms
18000020	16	137	0.656000ms
18000021	16	139	0.341000ms
18000022	16	135	0.387000ms
18000023	16	189	1.026000ms
18000024	16	114	0.793000ms
18000025	16	114	0.621000ms
18000026	16	188	1.093000ms
18000027	16	118	0.338000ms
18000028	16	163	0.318000ms
18000029	16	122	0.300000ms
18000030	16	128	1.111000ms
18000031	16	136	0.414000ms
18000032	16	136	0.315000ms
18000033	16	157	0.365000ms
18000034	16	140	0.613000ms
18000035	16	153	0.726000ms
18000036	16	183	0.363000ms
18000037	16	126	0.330000ms
18000038	16	140	0.329000ms
18000039	16	133	1.217000ms
18000040	16	119	0.651000ms
18000041	16	142	0.355000ms
18000042	16	144	0.746000ms
18000043	16	191	1.215000ms
18000044	16	157	0.775000ms
18000045	16	51	0.506000ms
18000046	16	125	1.104000ms
18000047	16	119	0.729000ms
18000048	16	102	0.274000ms
18000049	16	126	0.339000ms
18000050	16	358	1.351000ms
18000051	16	113	0.366000ms
18000052	16	133	0.305000ms
18000053	16	141	0.381000ms
18000054	16	124	1.126000ms
18000055	16	102	0.483000ms
18000056	16	149	0.643000ms
18000057	16	116	0.322000ms
18000058	16	146	0.498000ms
18000059	16	83	0.248000ms
18000060	16	160	0.701000ms
18000061	16	126	0.312000ms
18000062	16	127	1.136000ms
18000063	16	129	1.036000ms
18000064	16	118	0.289000ms
18000065	16	175	0.646000ms
18000066	16	138	0.586000ms
18000067	16	126	0.319000ms
18000068	16	166	0.327000ms
18000069	16	122	1.022000ms
18000070	16	131	0.682000ms
18000071	16	89	0.281000ms
18000072	16	163	1.237000ms
18000073	16	160	0.880000ms
18000074	16	136	1.931000ms
18000075	16	129	0.570000ms
18000076	16	118	0.309000ms
18000077	16	129	0.499000ms
18000078	16	133	0.786000ms
18000079	16	111	1.037000ms
18000080	16	118	0.577000ms
18000081	16	91	0.313000ms
18000082	16	107	0.302000ms
18000083	16	170	0.406000ms
18000084	16	125	0.697000ms
18000085	16	116	1.247000ms
18000086	16	101	0.312000ms
18000087	16	192	0.328000ms
18000088	16	146	0.355000ms
18000089	16	173	1.017000ms
18000090	16	135	0.638000ms
18000091	16	160	0.323000ms
18000092	16	124	0.302000ms
18000093	16	174	0.346000ms
18000094	16	147	0.791000ms
18000095	16	175	0.674000ms
18000096	16	129	1.077000ms
18000097	16	154	1.117000ms
18000098	16	155	0.373000ms
18000099	16	99	0.931000ms
18000100	16	194	0.839000ms
18000101	16	115	0.320000ms
18000102	16	127	0.786000ms
18000103	16	181	0.359000ms
18000104	16	151	1.125000ms
18000105	16	139	0.636000ms
18000106	16	129	0.830000ms
18000107	16	135	1.224000ms
18000108	16	138	0.326000ms
18000109	16	137	0.371000ms
18000110	16	129	0.728000ms
18000111	16	102	0.297000ms
18000112	16	137	1.091000ms
18000113	16	127	0.266000ms
18000114	16	154	0.315000ms
18000115	16	87	0.698000ms
18000116	16	185	0.322000ms
18000117	16	132	0.283000ms
18000118	16	172	0.403000ms
18000119	16	116	1.118000ms
18000120	16	130	0.724000ms
18000121	16	144	0.361000ms
18000122	16	136	0.741000ms
18000123	16	150	0.362000ms
18000124	16	153	0.359000ms
18000125	16	159	0.573000ms
18000126	16	150	0.366000ms
18000127	16	122	0.973000ms
18000128	16	146	0.382000ms
18000129	16	110	0.306000ms
18000130	16	214	0.813000ms
18000131	16	129	1.163000ms
18000132	16	130	1.022000ms
18000133	16	166	0.298000ms
18000134	16	97	0.310000ms
18000135	16	180	0.678000ms
18000136	16	143	0.379000ms
18000137	16	170	0.404000ms
18000138	16	138	1.060000ms
18000139	16	118	0.300000ms
18000140	16	127	0.668000ms
18000141	16	138	0.408000ms
18000142	16	136	0.583000ms
18000143	16	125	0.319000ms
18000144	16	136	0.312000ms
18000145	16	135	1.195000ms
18000146	16	119	0.381000ms
18000147	16	159	0.987000ms
18000148	16	134	0.360000ms
18000149	16	112	0.408000ms
18000150	16	268	0.824000ms
18000151	16	117	0.338000ms
18000152	16	111	0.344000ms
18000153	16	143	0.245000ms
18000154	16	126	0.345000ms
18000155	16	122	0.699000ms
18000156	16	162	1.027000ms
18000157	16	126	0.687000ms
18000158	16	128	0.697000ms
18000159	16	127	1.189000ms
18000160	16	135	0.844000ms
18000161	16	165	0.341000ms
18000162	16	128	0.712000ms
18000163	16	169	0.370000ms
18000164	16	315	0.482000ms
18000165	16	117	1.160000ms
18000166	16	136	0.545000ms
18000167	16	114	0.344000ms
18000168	16	141	0.378000ms
18000169	16	143	0.677000ms
18000170	16	177	0.760000ms
18000171	16	150	1.201000ms
18000172	16	97	0.295000ms
18000173	16	159	0.341000ms
18000174	16	137	0.652000ms
18000175	16	150	1.036000ms
18000176	16	75	0.263000ms
18000177	16	255	0.328000ms
18000178	16	167	0.539000ms
18000179	16	124	0.712000ms
18000180	16	115	0.998000ms
18000181	16	152	0.848000ms
18000182	16	124	0.316000ms
18000183	16	139	1.154000ms
18000184	16	144	0.336000ms
18000185	16	142	0.797000ms
18000186	16	123	0.632000ms
18000187	16	176	0.326000ms
18000188	16	144	0.375000ms
18000189	16	117	0.785000ms
18000190	16	104	0.874000ms
18000191	16	137	0.365000ms
18000192	16	141	0.733000ms
18000193	16	498	1.187000ms
18000194	16	149	0.513000ms
18000195	16	107	0.789000ms
18000196	16	169	1.363000ms
18000197	16	147	0.348000ms
18000198	16	154	0.603000ms
18000199	16	168	0.817000ms
18000200	16	230	1.071000ms
18000201	16	118	0.310000ms
18000202	16	134	0.652000ms
18000203	16	123	0.319000ms
18000204	16	202	0.560000ms
18000205	16	127	1.117000ms
18000206	16	121	0.320000ms
18000207	16	184	0.746000ms
18000208	16	114	0.362000ms
18000209	16	145	1.006000ms
18000210	16	135	0.829000ms
18000211	16	129	0.332000ms
18000212	16	166	0.721000ms
18000213	16	149	0.307000ms
18000214	16	123	0.305000ms
18000215	16	149	0.836000ms
18000216	16	136	0.390000ms
18000217	16	157	0.694000ms
18000218	16	173	1.174000ms
18000219	16	147	0.408000ms
18000220	16	151	1.085000ms
18000221	16	109	0.548000ms
18000222	16	221	0.424000ms
18000223	16	144	0.362000ms
18000224	16	145	0.747000ms
18000225	16	214	1.045000ms
18000226	16	166	0.418000ms
18000227	16	149	0.727000ms
18000228	16	146	1.100000ms
18000229	16	131	0.453000ms
18000230	16	116	2.036000ms
18000231	16	126	0.688000ms
18000232	16	164	0.724000ms
18000233	16	158	0.395000ms
18000234	16	127	0.749000ms
18000235	16	135	0.961000ms
18000236	16	118	0.648000ms
18000237	16	158	0.807000ms
18000238	16	112	0.578000ms
18000239	16	123	0.955000ms
18000240	16	125	0.998000ms
18000241	16	126	0.330000ms
18000242	16	176	0.736000ms
18000243	16	116	1.192000ms
18000244	16	124	0.669000ms
18000245	16	103	0.907000ms
18000246	16	131	0.617000ms
18000247	16	120	0.715000ms
18000248	16	136	1.083000ms
18000249	16	100	0.683000ms
18000250	16	152	0.910000ms
18000251	16	132	0.637000ms
18000252	16	176	0.809000ms
18000253	16	184	0.621000ms
18000254	16	148	1.056000ms
18000255	16	128	0.933000ms
18000256	16	126	1.262000ms
18000257	16	131	1.061000ms
18000258	16	117	0.693000ms
18000259	16	136	0.795000ms
18000260	16	120	1.188000ms
18000261	16	119	0.675000ms
18000262	16	136	0.565000ms
